#timestamp;left1;left2;right2;right2.1;label
1594148715233;-533;-482;-333;-299;0
1594148715249;-437;-400;-266;-213;0
1594148715271;-359;-325;-171;-121;0
1594148715298;-285;-250;-85;-35;0
1594148715308;-207;-179;3;46;0
1594148715331;-145;-127;73;108;0
1594148715354;-105;-97;126;153;0
1594148715368;-77;-68;162;182;0
1594148715402;-50;-47;184;199;0
1594148715413;-35;-33;194;208;0
1594148715430;-16;-21;211;224;0
1594148715451;-19;-30;217;228;0
1594148715474;-18;-14;227;242;0
1594148715489;3;-2;238;247;0
1594148715511;8;2;236;243;0
1594148715533;13;8;234;242;0
1594148715549;16;5;232;233;0
1594148715571;13;8;219;223;0
1594148715593;14;-2;208;211;0
1594148715610;0;-11;201;207;0
1594148715631;6;3;199;208;0
1594148715654;4;-16;194;192;0
1594148715668;-16;-27;176;182;0
1594148715691;-19;-35;172;166;0
1594148715713;-44;-77;140;122;0
1594148715728;-98;-139;88;66;0
1594148715759;-154;-171;39;43;0
1594148715773;-158;-143;46;76;0
1594148715790;-99;-75;101;136;0
1594148715811;-40;-23;147;170;0
1594148715834;6;10;179;198;0
1594148715851;23;16;198;207;0
1594148715872;26;25;199;211;0
1594148715894;38;29;208;214;0
1594148715909;36;24;203;207;0
1594148715932;32;23;197;198;0
1594148715954;28;18;185;194;0
1594148715969;31;21;190;200;0
1594148715993;26;8;191;190;0
1594148716014;10;-2;172;175;0
1594148716029;8;-1;168;178;0
1594148716052;8;4;171;179;0
1594148716077;13;1;170;172;0
1594148716089;6;-11;163;171;0
1594148716112;-2;-10;164;171;0
1594148716134;2;-6;166;174;0
1594148716149;2;-14;159;157;0
1594148716171;-8;-17;148;157;0
1594148716194;-8;-17;151;159;0
1594148716208;-6;-17;154;160;0
1594148716231;-11;-23;148;152;0
1594148716253;-13;-21;149;162;0
1594148716268;-12;-23;156;160;0
1594148716292;-15;-25;147;150;0
1594148716315;-21;-32;141;152;0
1594148716329;-20;-21;151;164;0
1594148716351;-2;1;161;169;0
1594148716374;18;5;164;172;0
1594148716389;6;-9;163;168;0
1594148716412;4;0;162;172;0
1594148716434;7;-8;163;165;0
1594148716449;-5;-21;151;151;0
1594148716471;-11;-22;144;151;0
1594148716497;-16;-19;145;157;0
1594148716508;-4;-15;154;158;0
1594148716531;-11;-27;148;150;0
1594148716553;-24;-36;133;136;0
1594148716568;-26;-40;126;128;0
1594148716591;-34;-46;126;135;0
1594148716620;-37;-46;124;128;0
1594148716629;-37;-49;119;122;0
1594148716651;-40;-53;116;124;0
1594148716681;-45;-54;115;116;0
1594148716689;-42;-52;111;121;0
1594148716712;-40;-49;118;124;0
1594148716738;-43;-58;112;117;0
1594148716749;-51;-61;110;118;0
1594148716779;-46;-51;113;120;0
1594148716801;-42;-56;116;122;0
1594148716808;-52;-63;111;112;0
1594148716831;-48;-57;105;113;0
1594148716854;-44;-50;109;117;0
1594148716868;-38;-49;111;116;0
1594148716892;-41;-54;109;111;0
1594148716913;-47;-54;96;100;0
1594148716928;-40;-51;98;107;0
1594148716951;-46;-58;103;113;0
1594148716973;-45;-56;108;109;0
1594148716989;-50;-60;96;102;0
1594148717012;-46;-55;99;106;0
1594148717033;-47;-53;104;117;0
1594148717049;-44;-69;111;103;0
1594148717071;-84;-114;74;57;0
1594148717093;-109;-111;44;53;0
1594148717110;-90;-92;52;60;0
1594148717135;-74;-78;61;79;0
1594148717153;-69;-78;80;88;0
1594148717169;-66;-73;80;85;0
1594148717192;-56;-62;86;99;0
1594148717214;-58;-72;92;93;0
1594148717230;-61;-72;85;92;0
1594148717254;-68;-85;82;79;0
1594148717276;-82;-91;63;69;0
1594148717289;-71;-76;72;80;0
1594148717312;-66;-77;74;80;0
1594148717335;-65;-68;76;85;0
1594148717351;-50;-60;85;92;0
1594148717373;-53;-64;82;87;0
1594148717394;-53;-59;80;86;0
1594148717408;-46;-56;82;89;0
1594148717431;-48;-61;80;79;0
1594148717454;-54;-66;66;72;0
1594148717470;-57;-68;70;79;0
1594148717493;-56;-62;78;86;0
1594148717514;-53;-67;78;75;0
1594148717528;-64;-84;69;77;0
1594148717552;-75;-77;73;78;0
1594148717575;-65;-74;72;79;0
1594148717589;-61;-69;80;87;0
1594148717611;-57;-69;83;85;0
1594148717634;-64;-75;74;77;0
1594148717650;-64;-78;74;79;0
1594148717673;-72;-82;72;73;0
1594148717694;-72;-81;67;73;0
1594148717711;-74;-88;64;61;0
1594148717731;-81;-90;54;60;0
1594148717754;-76;-84;58;68;0
1594148717770;-72;-84;70;78;0
1594148717792;-75;-85;72;67;0
1594148717814;-77;-87;55;56;0
1594148717829;-75;-87;51;59;0
1594148717851;-75;-81;59;64;0
1594148717873;-71;-85;55;57;0
1594148717889;-77;-90;56;67;0
1594148717911;-78;-85;66;68;0
1594148717934;-77;-88;62;66;0
1594148717949;-73;-83;64;66;0
1594148717971;-73;-80;58;56;0
1594148717994;-70;-82;46;49;0
1594148718009;-74;-87;45;48;0
1594148718031;-80;-93;44;50;0
1594148718054;-79;-84;48;56;0
1594148718071;-71;-83;55;56;0
1594148718091;-76;-87;45;47;0
1594148718115;-76;-86;42;51;0
1594148718129;-77;-91;51;53;0
1594148718151;-78;-85;51;57;0
1594148718174;-76;-87;53;61;0
1594148718189;-72;-81;62;65;0
1594148718211;-71;-79;56;58;0
1594148718234;-66;-77;51;53;0
1594148718249;-70;-88;47;50;0
1594148718274;-81;-90;50;59;0
1594148718296;-77;-87;57;56;0
1594148718308;-77;-85;51;55;0
1594148718332;-70;-79;51;55;0
1594148718353;-70;-80;48;50;0
1594148718369;-70;-81;46;56;0
1594148718391;-73;-88;52;52;0
1594148718414;-84;-95;44;45;0
1594148718429;-84;-96;41;48;0
1594148718452;-85;-92;44;52;0
1594148718475;-82;-95;48;49;0
1594148718489;-84;-94;45;53;0
1594148718513;-85;-95;50;60;0
1594148718534;-85;-93;59;64;0
1594148718549;-79;-85;62;68;0
1594148718571;-75;-89;65;67;0
1594148718597;-84;-94;62;68;0
1594148718609;-83;-94;64;64;0
1594148718632;-81;-88;58;61;0
1594148718656;-79;-89;53;61;0
1594148718669;-83;-103;58;53;0
1594148718692;-97;-104;44;53;0
1594148718714;-92;-100;53;58;0
1594148718730;-90;-98;54;59;0
1594148718751;-85;-92;56;59;0
1594148718777;-85;-100;50;50;0
1594148718789;-92;-104;47;51;0
1594148718812;-92;-98;47;53;0
1594148718834;-92;-107;51;54;0
1594148718849;-95;-103;48;51;0
1594148718871;-94;-103;46;50;0
1594148718894;-91;-98;46;51;0
1594148718910;-88;-100;47;44;0
1594148718931;-89;-91;36;52;0
1594148718955;-76;-82;62;74;0
1594148718969;-74;-92;70;68;0
1594148718992;-90;-106;58;56;0
1594148719014;-95;-97;51;59;0
1594148719030;-78;-84;59;65;0
1594148719056;-72;-81;64;72;0
1594148719074;-72;-82;66;66;0
1594148719089;-79;-96;57;57;0
1594148719111;-85;-92;54;60;0
1594148719134;-84;-98;53;52;0
1594148719149;-87;-93;48;54;0
1594148719175;-82;-95;52;56;0
1594148719194;-91;-101;53;57;0
1594148719209;-83;-88;54;60;0
1594148719231;-77;-88;61;68;0
1594148719254;-82;-92;62;66;0
1594148719269;-83;-95;63;67;0
1594148719291;-87;-98;67;73;0
1594148719316;-91;-101;64;59;0
1594148719329;-94;-104;48;56;0
1594148719351;-88;-91;63;70;0
1594148719374;-77;-91;66;62;0
1594148719389;-86;-99;56;61;0
1594148719412;-90;-100;61;67;0
1594148719442;-92;-102;61;59;0
1594148719449;-95;-108;54;56;0
1594148719473;-96;-97;54;64;0
1594148719494;-84;-96;63;65;0
1594148719509;-88;-100;60;62;0
1594148719531;-91;-98;57;61;0
1594148719554;-90;-105;54;53;0
1594148719569;-96;-104;49;49;0
1594148719592;-90;-99;46;48;0
1594148719614;-97;-107;42;45;0
1594148719629;-98;-112;43;45;0
1594148719653;-104;-111;43;44;0
1594148719675;-101;-108;38;45;0
1594148719689;-99;-108;46;56;0
1594148719713;-99;-110;50;49;0
1594148719734;-108;-119;40;39;0
1594148719749;-107;-114;32;31;0
1594148719771;-103;-110;32;43;0
1594148719794;-101;-107;43;49;0
1594148719809;-96;-108;45;43;0
1594148719831;-102;-112;36;34;0
1594148719855;-101;-105;31;38;0
1594148719869;-92;-102;39;39;0
1594148719892;-93;-101;32;35;0
1594148719914;-92;-98;35;41;0
1594148719929;-90;-105;40;44;0
1594148719959;-100;-109;40;38;0
1594148719974;-108;-128;26;18;0
1594148719989;-139;-174;1;-17;0
1594148720013;-196;-234;-45;-68;0
1594148720034;-251;-270;-90;-98;0
1594148720057;-256;-241;-94;-70;0
1594148720071;-201;-187;-43;-23;0
1594148720095;-144;-132;12;35;0
1594148720110;-107;-103;47;61;0
1594148720131;-85;-82;70;79;0
1594148720154;-68;-70;74;76;0
1594148720169;-60;-71;75;80;0
1594148720193;-65;-70;83;90;0
1594148720214;-62;-70;86;87;0
1594148720229;-58;-66;84;84;0
1594148720253;-63;-74;76;77;0
1594148720274;-68;-76;74;75;0
1594148720289;-68;-81;65;62;0
1594148720312;-79;-87;57;61;0
1594148720335;-84;-88;56;59;0
1594148720349;-82;-92;62;67;0
1594148720372;-85;-91;67;67;0
1594148720394;-85;-94;62;59;0
1594148720413;-91;-100;52;48;0
1594148720433;-94;-98;43;48;0
1594148720454;-96;-105;46;52;0
1594148720470;-100;-108;50;49;0
1594148720493;-103;-107;45;48;0
1594148720515;-103;-112;42;43;0
1594148720530;-105;-112;43;47;0
1594148720553;-109;-117;44;44;0
1594148720587;-114;-117;40;45;0
1594148720590;-108;-114;42;43;0
1594148720612;-115;-123;40;43;0
1594148720634;-116;-120;41;41;0
1594148720649;-112;-119;39;40;0
1594148720673;-110;-110;38;38;0
1594148720694;-102;-109;35;36;0
1594148720710;-107;-116;34;35;0
1594148720733;-105;-108;36;40;0
1594148720754;-106;-115;38;40;0
1594148720776;-111;-119;37;35;0
1594148720795;-110;-124;33;26;0
1594148720814;-106;-107;39;42;0
1594148720829;-95;-99;44;46;0
1594148720852;-95;-103;42;38;4
1594148720876;-100;-105;27;24;4
1594148720889;-94;-101;23;28;4
1594148720911;-96;-98;30;35;4
1594148720934;-96;-107;27;24;4
1594148720949;-98;-100;21;23;4
1594148720980;-87;-86;24;32;4
1594148721012;-82;-98;28;23;4
1594148721014;-99;-112;14;11;4
1594148721033;-111;-117;11;17;4
1594148721055;-110;-112;9;9;4
1594148721069;-100;-104;11;18;4
1594148721092;-97;-99;16;24;4
1594148721115;-94;-106;22;21;4
1594148721129;-99;-104;19;20;4
1594148721153;-96;-101;24;29;4
1594148721175;-101;-111;22;23;4
1594148721190;-105;-108;26;30;4
1594148721212;-98;-102;29;34;4
1594148721235;-102;-114;28;26;4
1594148721258;-109;-116;22;19;4
1594148721277;-112;-118;11;12;4
1594148721294;-110;-113;13;17;4
1594148721309;-105;-112;18;23;4
1594148721331;-108;-111;26;36;4
1594148721354;-101;-102;40;44;4
1594148721371;-90;-92;44;49;4
1594148721391;-85;-94;51;49;4
1594148721416;-95;-109;37;28;4
1594148721430;-118;-159;15;-17;4
1594148721452;-212;-272;-78;-132;4
1594148721477;-296;-299;-158;-148;0
1594148721493;-278;-266;-127;-108;0
1594148721517;-246;-251;-100;-103;0
1594148721534;-256;-269;-115;-123;0
1594148721549;-276;-301;-141;-159;0
1594148721573;-320;-346;-182;-199;0
1594148721594;-351;-350;-209;-196;0
1594148721610;-320;-288;-174;-136;0
1594148721632;-239;-209;-101;-64;0
1594148721655;-173;-153;-35;-7;0
1594148721669;-122;-112;16;37;0
1594148721691;-92;-90;46;53;0
1594148721715;-80;-84;52;58;0
1594148721731;-75;-87;60;62;0
1594148721759;-81;-89;61;65;0
1594148721775;-85;-97;64;66;0
1594148721797;-93;-108;66;66;0
1594148721812;-104;-125;63;47;0
1594148721835;-116;-131;47;40;0
1594148721849;-130;-143;36;36;0
1594148721873;-134;-143;37;40;0
1594148721902;-145;-160;33;31;0
1594148721910;-157;-173;26;22;0
1594148721933;-169;-176;16;18;0
1594148721955;-170;-176;17;18;0
1594148721969;-169;-180;18;19;0
1594148721994;-174;-183;21;22;0
1594148722015;-174;-171;21;26;0
1594148722031;-155;-162;33;35;0
1594148722054;-159;-168;35;36;0
1594148722080;-168;-174;31;34;0
1594148722090;-163;-166;38;42;0
1594148722116;-152;-148;50;60;0
1594148722135;-137;-148;59;52;0
1594148722151;-145;-158;46;43;0
1594148722172;-158;-167;41;44;0
1594148722196;-166;-171;43;44;0
1594148722210;-161;-167;45;44;0
1594148722231;-164;-173;44;45;0
1594148722255;-172;-178;44;41;0
1594148722269;-169;-172;39;36;0
1594148722292;-167;-172;31;29;0
1594148722315;-167;-170;31;35;0
1594148722330;-160;-163;40;45;0
1594148722356;-150;-151;50;54;0
1594148722375;-150;-156;51;49;0
1594148722393;-151;-160;48;42;0
1594148722413;-156;-161;42;44;0
1594148722434;-154;-157;44;43;0
1594148722449;-153;-160;45;45;0
1594148722475;-158;-162;46;48;0
1594148722495;-159;-162;43;35;0
1594148722517;-154;-158;33;33;0
1594148722532;-148;-161;35;22;0
1594148722554;-153;-162;30;29;0
1594148722569;-158;-163;29;30;0
1594148722594;-157;-159;34;34;0
1594148722615;-152;-155;34;35;0
1594148722630;-150;-156;39;36;0
1594148722663;-153;-154;34;33;0
1594148722674;-150;-150;32;31;0
1594148722689;-142;-149;31;24;0
1594148722712;-144;-144;25;29;0
1594148722736;-139;-141;30;27;0
